ID,parentID,insertDate,name,code,type,level,provinceID,city,zone,address,postalCode,phone,haveInternet,email,ownership,distanceFromParent,timeToParent,roadType,climate,populationNumber,childrenNumber,receivingVaccMode,transportMode,startWork,staffNumber,powerSource,remark,country,higherLevel,lowerLevel,year,updateNumber,completerStaffName,completerStaffPosition,completerStaffSign,facilityBarcode,equipBarcode,district,gps,other,changeDate,Coverage,functionstatus,byfile,HaveImmService,TypeImmService,NumImmperWeek,NumProfStaff,NumVaccStaff,NumDriverStaff,Coverage2,HaveGenerator,HaveCovid,countVacc1,countVacc2,otherservice,isDel,delreason,enterBy,code2,IsbuildingSuitable,buildingSuitableReason,selectedServices,NumIcepack,MaxSDI,FacMainPlan,NumIsOpen,workingHFrom,workingHTo,other1,other2,other3,other4,other5,other6,Coverage3,countVacc3,Coverage4,countVacc4
614,605,07/06/2022,Referal Hospital Maubisse (Hospital Referal Maubisse),TLS0200004,157,2,-1,,,Ainaro,,Yes,NULL,,-1,NULL,,NULL,-1,65693,5000,-1,-1,,150,215,,NULL,NULL,5,NULL,11/22/2022 8:19:18 AM,Domingos Freitas,Jhon,,,NULL,Ainaro,,Yes,07/06/2022,NULL,-1,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
615,613,09/06/2022,Municipality Health Service Ainaro (SMS Ainaro),TLS0300002,119,3,-1,,,Ainaro,,Yes,1,,140,NULL,,NULL,-1,65693,4000,-1,-1,,150,215,,NULL,NULL,7,NULL,11/30/2022 5:54:32 AM,Domingos Freitas,DF,,,NULL,Ainaro,,No,09/06/2022,NULL,131,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
616,615,15/11/2022,CS Ainaro,TLS0400005,120,4,-1,,,Maulore,,77472300,NULL,,-1,NULL,,NULL,-1,16823,200,-1,-1,,30,215,,NULL,NULL,0,NULL,11/22/2022 11:11:53 AM,Antonio Q. Mendonsa,Yes,,,NULL,Ainaro,,8,15/11/2022,NULL,-1,1,NULL,NULL,NULL,20,0,1,NULL,0,NULL,0,0,1,0,-1,622,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
617,615,21/11/2022,CSJ Maubisse,TLS0400006,120,4,-1,,,Hatufae,,78704677,NULL,,-1,NULL,,NULL,-1,122000,200,-1,-1,,28,215,,NULL,NULL,2,NULL,11/25/2022 10:19:17 AM,Antonio Q. Mendonsa,Yes,,,NULL,Ainaro,,8,21/11/2022,NULL,131,1,NULL,NULL,NULL,22,0,1,NULL,0,NULL,0,0,1,0,-1,622,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
618,615,18/11/2022,CS Hautio,TLS0400007,120,4,-1,,,Aituto Rina,,78704677,NULL,,140,NULL,,NULL,-1,13249,200,-1,-1,,30,215,,NULL,NULL,2,NULL,11/26/2022 12:50:48 AM,Antonio Q. Mendonsa,Yes,,,NULL,Ainaro,,8,18/11/2022,NULL,-1,1,NULL,NULL,NULL,25,0,1,NULL,0,NULL,0,0,1,0,-1,622,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
619,615,18/11/2022,CS Hato-udo,TLS0400008,120,4,-1,,,Hato-Udo,,78704677,NULL,,140,NULL,,NULL,-1,122000,200,-1,-1,,30,215,,NULL,NULL,0,NULL,11/30/2022 7:36:36 AM,Antonio Q. Mendonsa,Yes,,,NULL,Ainaro,,15.18,18/11/2022,NULL,131,1,NULL,NULL,NULL,25,0,1,NULL,0,NULL,0,0,1,0,-1,622,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
620,605,06/09/2022,Regional Warehouse SAMES Baucau (Regional SAMES Baucau),TLS0200005,115,2,-1,,,Baucau,,Yes,NULL,,-1,NULL,,NULL,-1,127220,4000,-1,-1,,58,215,,NULL,NULL,1,NULL,NULL,Domingos Freitas,DF,,,NULL,Baucau,,No,09/06/2022,NULL,-1,1,NULL,NULL,NULL,30,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
621,605,09/06/2022,Referal HOREX Baucau (Hospital Referal Baucau),TLS0200006,157,2,-1,,,Baucau,,Yes,1,,140,NULL,,NULL,-1,122916,4000,-1,-1,,150,215,,NULL,NULL,1,NULL,2022/11/15 09:09:15 ق.ظ,Domingos Freitas,DF,,,NULL,Baucau,,Yes,09/06/2022,NULL,131,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
622,620,15/11/2022,Municipality Health Service Baucau,TLS0300003,119,3,-1,,,Bahu,,77468989,1,,140,NULL,,NULL,-1,200000,10000,-1,-1,,50,215,,NULL,NULL,9,NULL,NULL,Celestino da Costa Brito,Celes,,,NULL,Baucau,,18.1,15/11/2022,NULL,131,1,NULL,NULL,NULL,25,0,5,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
623,622,14/11/2022,Cs.Uailili,TLS0400009,120,4,-1,,,"Uailili ",,77468989,1,,140,NULL,,NULL,-1,10000,50,-1,-1,,30,215,,NULL,NULL,3,NULL,NULL,Celestino da Costa Brito,"Celes ",,,NULL,Baucau,,8,14/11/2022,NULL,131,1,NULL,NULL,NULL,15,0,1,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
624,622,15/11/2022,Cs.Baguia,TLS0400010,120,4,-1,,,"Baguia ",,77468989,1,,-1,NULL,,NULL,-1,13569,100,-1,-1,,30,215,,NULL,NULL,4,NULL,11/21/2022 7:25:02 AM,Celestino da Costa Brito,Celes,,,NULL,"Baucau ",,20,15/11/2022,NULL,131,1,NULL,NULL,NULL,15,0,1,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
625,622,24/05/2022,Cs.Bucoli,TLS0400011,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,4952,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
626,622,15/11/2022,Cs. Laga,TLS0400012,120,4,-1,,,Soba,,77468989,1,,140,NULL,,NULL,-1,100000,100,-1,-1,,30,215,,NULL,NULL,5,NULL,NULL,Celestino da Costa Brito,Celes,,,NULL,Baucau,,22.1,15/11/2022,NULL,131,1,NULL,NULL,NULL,15,0,1,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
627,622,15/11/2022,CS. Quelicai,TLS0400013,120,4,-1,,,Quelicai,,77468989,1,,140,NULL,,NULL,-1,100000,100,-1,-1,,30,215,,NULL,NULL,6,NULL,NULL,Celestino da Costa Brito,"Celes ",,,NULL,Baucau,,23.1,15/11/2022,NULL,131,1,NULL,NULL,NULL,15,0,1,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
628,622,15/11/2022,Cs. Vemasse,TLS0400014,120,4,-1,,,Vemasse,,77468989,1,,140,NULL,,NULL,-1,100000,100,-1,-1,,30,215,,NULL,NULL,1,NULL,NULL,Celestino da Costa Brito,Celes,,,NULL,Baucau,,24.1,15/11/2022,NULL,131,1,NULL,NULL,NULL,15,0,1,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
629,622,15/11/2022,CS. Venlilale,TLS0400015,120,4,-1,,,Venilale,,77468989,1,,140,NULL,,NULL,-1,100000,100,-1,-1,,30,215,,NULL,NULL,5,NULL,NULL,Celestino da Costa Brito,"Celes ",,,NULL,"Baucau ",,25.1,15/11/2022,NULL,131,1,NULL,NULL,NULL,15,0,1,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
630,622,14/11/2022,CS. Tirilolo,TLS0400016,120,4,-1,,,Tirilolo,,77468989,1,,-1,NULL,,NULL,-1,10000,50,-1,-1,,50,215,,NULL,NULL,3,NULL,11/16/2022 5:10:05 AM,Celestino da Costa Brito,Celes,,,NULL,Baucau,,26.1,14/11/2022,NULL,-1,1,NULL,NULL,NULL,20,0,1,NULL,0,NULL,0,0,1,0,-1,631,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
631,605,09/06/2022,Regional Warehouse - Bobobaro (Regional SAMES Bobonaro),TLS0200007,115,2,-1,,,Bobonaro,,Yes,1,,140,NULL,,NULL,-1,99885,4000,-1,-1,,150,215,,NULL,NULL,1,NULL,NULL,Domingos Freitas,DF,,,NULL,Bobonaro,,No,09/06/2022,NULL,131,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
632,605,09/06/2022,Referal Hospital Maliana (Hospital Referal Maliana),TLS0200008,157,2,-1,,,Maliana,,Yes,1,,140,NULL,,NULL,-1,99885,4000,-1,-1,,150,215,,NULL,NULL,1,NULL,11/14/2022 2:20:26 PM,Domingos Freitas,DF,,,NULL,Bobonaro,,Yes,09/06/2022,NULL,131,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
633,631,24/05/2022,Municipality Health Service Bobonaro,TLS0300004,119,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,99885,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,8/25/2022 7:19:14 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
634,633,15/11/2022,CS Atabae ,TLS0400017,156,4,-1,,,Atabae kota,,+67075352805,NULL,,-1,NULL,,NULL,-1,11100,100,-1,-1,,20,215,,NULL,NULL,4,NULL,2022/11/21 05:16:52 ق.ظ,Rudi Gonzalves,2,,,NULL,Bobonaro,,30.1,15/11/2022,NULL,-1,1,NULL,NULL,NULL,10,0,1,NULL,0,NULL,0,0,1,0,-1,642,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
635,633,15/11/2022,CS Balibo ,TLS0400018,156,4,-1,,,Balibo kota,,+67075944145,NULL,,-1,NULL,,NULL,-1,16167,50,-1,-1,,23,215,,NULL,NULL,6,NULL,2022/12/06 10:25:12 ق.ظ,Rudi Gonzalves,2,,,NULL,Bobonaro,,31.1,15/11/2022,NULL,-1,1,NULL,NULL,NULL,11,0,1,NULL,0,NULL,0,0,1,0,-1,642,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
636,633,15/11/2022,CS Bobonaro,TLS0400019,156,4,-1,,,Bobonaro kota,,+67077837554,0,,-1,NULL,,NULL,-1,25139,100,-1,-1,,20,215,,NULL,NULL,3,NULL,2022/11/15 06:34:28 ق.ظ,Rudi Gonzalves,2,,,NULL,Bobonaro,,32.1,15/11/2022,NULL,-1,1,NULL,NULL,NULL,11,0,1,NULL,0,NULL,0,0,1,0,-1,642,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
637,633,15/11/2022,CS Cailaco,TLS0400020,156,4,-1,,,Cailaco kota,,+67075424832,NULL,,-1,NULL,,NULL,-1,10635,100,-1,-1,,21,215,,NULL,NULL,7,NULL,NULL,Rudi Gonzalves,2,,,NULL,Bobonaro,,33.1,15/11/2022,NULL,-1,1,NULL,NULL,NULL,10,0,1,NULL,0,NULL,0,0,1,0,-1,642,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
638,633,15/11/2022,CS Lolotoe ,TLS0400021,156,4,-1,,,Lolotoe kota,,+67076528434,NULL,,-1,NULL,,NULL,-1,6905,50,-1,-1,2000,22,215,,NULL,NULL,3,2000,2022/11/15 09:28:27 ق.ظ,Rudi Gonzalves,2,,,NULL,Bobonaro,,34.1,15/11/2022,NULL,-1,1,NULL,NULL,NULL,10,0,1,NULL,0,NULL,0,0,1,0,-1,642,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
639,633,15/11/2022,CS Maliana,TLS0400022,156,4,-1,,,Maliana kota,,+67077974739,NULL,,-1,NULL,,NULL,-1,29939,10,-1,-1,,25,215,,NULL,NULL,2,NULL,2022/11/23 10:41:16 ق.ظ,Rudi Gonzalves,2,,,NULL,Bobonaro,,35.1,15/11/2022,NULL,-1,1,NULL,NULL,NULL,12,0,1,NULL,0,NULL,0,0,1,0,-1,642,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
640,605,09/06/2022,Referal Hospital Suai (Hospital Referal Suai),TLS0200009,157,2,-1,,,Suai,,Yes,1,,140,NULL,,NULL,-1,70870,4000,-1,-1,,150,215,,NULL,NULL,1,NULL,11/23/2022 10:38:00 AM,Domingos Freitas,DF,,,NULL,Covalima,,Yes,09/06/2022,NULL,131,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
641,640,23/11/2022,SMS Covalima,TLS0300005,119,3,-1,,,Debos,,2230010,1,,-1,NULL,,NULL,-1,70870,1000,-1,-1,,30,215,,NULL,NULL,0,NULL,11/24/2022 5:50:31 AM,Juvinal C.V. Godinho,Yes,,,NULL,Covalima,,37.1,23/11/2022,NULL,-1,1,NULL,NULL,NULL,30,0,4,NULL,0,NULL,0,0,1,0,-1,650,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
642,641,24/05/2022,CHC Fohorem,TLS0400023,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,4442,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,11/22/2022 5:21:14 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
643,641,24/05/2022, CHC Fatululik,TLS0400024,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,2173,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,11/22/2022 6:01:49 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
644,641,24/05/2022, CHC Fatumea,TLS0400025,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,3516,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,11/22/2022 6:20:17 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
645,641,24/05/2022, CHC Maucatar,TLS0400026,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,9764,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,11/23/2022 3:53:06 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
646,641,24/05/2022, CHC Suai Vila,TLS0400027,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,28195,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,12/5/2022 4:30:04 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
647,641,24/05/2022, CHC Tilomar,TLS0400028,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,8515,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,11/23/2022 5:08:55 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
648,641,24/05/2022, CHC Zumalai,TLS0400029,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,14266,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,11/23/2022 4:39:56 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
649,605,09/06/2022,Municipality Health Service Dili (SMS Dili),TLS0300006,119,3,-1,,,Dili,,Yes,1,,140,NULL,,NULL,-1,80424,10000,-1,-1,,150,215,,NULL,NULL,7,NULL,11/17/2022 4:27:23 AM,Domingos Freitas,DF,,,NULL,Dili,,No,09/06/2022,NULL,131,1,NULL,NULL,NULL,90,0,0,NULL,0,NULL,0,0,1,0,-1,1,NULL,-1,-1,,0,0.00,,NULL,,,0.00,0.00,NULL,NULL,,,NULL,0,NULL,0
650,649,24/05/2022, SSK COMORO,TLS0400030,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,170677,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,11/24/2022 5:22:23 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
651,649,24/05/2022, SSK Vera Cruz,TLS0400031,0,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,48279,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,12/5/2022 10:14:05 AM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47.1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
